messageid,Fulltext,Sender,SenderType,timeReceived,MainText,Url,Subdomain,Domain,TLD,RedirectedURL,Detected,Malicious,Phishing,Suspicious,Malware,Brand,URL Subcategory,Message Categories,FullyQualifiedDomain,Domain Registrar,Domain Creation Date,Domain Last Update
1038,"<
1:18
O
8
+1 (858) 326-5851>
Hello. I'm Emily. Just found your
house in the neighborhood and
thought of reaching out to you re: a
sale for it. Any interest?
A
A
Text Message
Mon, Apr 24, 9:17 AM
Text Message
Cash
O
(C.
?",+1 (858) 326-5851,Phone Number,"08/14/2023, 08:33:33",Hello. I'm Emily. Just found your house in the neighborhood and thought of reaching out to you re: a sale for it. Any interest? ,,,,,,,,,,,,,Advertisement,,,,
1041,"O
1:14
8
18 People >
Text Message
Tue, Oct 18, 7:14 PM
+1 (646) 201-3969
T-MO: Here is a gift to show ""thank
you"" for your outstanding payment
history. Congrats! YR431.coM/
KDO0JQ9MWE
A
A Cash
Text Message
O
(?
?",+1 (646) 201-3969,Phone Number,"08/14/2023, 08:38:57","T-MO: Here is a gift to show ""thank you"" for your outstanding payment history. Congrats! YR431.coM/KDO0JQ9MWE",YR431.coM/KDO0JQ9MWE,,yr431,com,,0,0,0,0,0,T-Mobile,Random Domain,Advertisement,yr431.com,,,
1042,"1:14
:
+1 (908) 294-7876 >
O A
Text Message
Mon, Oct 17, 12:54 PM
You have an expedited courier
document that could not be
delivered due to incorrect address,
pls check https://rebrand.ly/tw0ajjr
Text Message
A Cash
O
(C.
?",+1 (908) 294-7876,Phone Number,"08/14/2023, 08:40:39","You have an expedited courier document that could not be delivered due to incorrect address, pls check https://rebrand.ly/tw0ajjr ",https://rebrand.ly/tw0ajjr,,rebrand,ly,http://www.artxact.com/,1,0,1,0,0,,Random Domain,Delivery,www.artxact.com,Gname 033 Inc,1/20/2023,1/21/2023
1043,"<
1:14
O
8
+1 (786) 819-0538 >
Package reminder: We cannot
deliver your package to door due to
the incomplete house number,
please fill in the address. https://vxa-
upsp.com
A
A
Text Message
Mon, Oct 17, 9:10 AM
Text Message
Cash
O
(C.
?",+1 (786) 819-0538,Phone Number,"08/14/2023, 08:41:50","Package reminder: We cannot deliver your package to door due to the incomplete house number, please fill in the address. https://vxa-upsp.com ",https://vxa-upsp.com,,vxa-upsp,com,https://vxa-upsp.com/404.html,10,3,7,0,0,UPS,,Delivery,vxa-upsp.com,ALIBABA.COM,10/17/2022,10/17/2022
1044,"1:12
O
8
+1 (919) 432-2584 >
Get a Free $100 by HomeDepot
http://intentweav.shopping/nrFIB6
A
A
Text Message
Sun, Sep 18, 6:01 PM
Text Message
Cash
O
(C.
?",+1 (919) 432-2584,Phone Number,"08/14/2023, 08:43:18",Get a Free $100 by HomeDepot http://intentweav.shopping/nrFIB6 ,http://intentweav.shopping/nrFIB6,,intentweav,shopping,,0,0,0,0,0,Home Depot,Random Domain,Advertisement,intentweav.shopping,TLD Registrar Solutions Ltd.,9/19/2022,9/20/2023
1047,"9:47 1
88
:
inf120accnt-20237826@america... >
O
Ne'tf!ix:658567 Your
Subscr!pt!ons
has_expired today.Click
here to Re_new your
bills //@risu.io/fTVXM
Mensaje de texto
jueves 12:03 p. m.
A
A
((.
Mensaje de texto ?
*Pay
?",inf120accnt-20237826@america,Email To Text,"08/15/2023, 03:30:51",Ne'tf!ix:658567 Your Subscr!pt!ons has_expired today.Click here to Re_new your bills //@risu.io/fTVXM,risu.io/fTVXM,,risu,io,,1,1,0,0,0,Netflix,Random Domain,Advertisement,risu.io,"GoDaddy.com, LLC",8/19/2019,10/3/2022
1048,"9:50 1
87
O
:
1nfOvrfaccnt8129391389@lix.com >
(NT#FLIX:382118) Your
Subcript!ons will expire
today,re-new your bills
now //@risu.io/B10Sz
Mensaje de texto
sáb, jul. 29 12:18 p. m.
A
A
:
Mensaje de texto ?
*Pay
?",1nfOvrfaccnt8129391389@lix.com,Email To Text,"08/15/2023, 03:34:24","(NT#FLIX:382118) Your Subcript!ons will expire today,re-new your bills now //@risu.io/B10Sz O",risu.io/B10Sz,,risu,io,,2,2,0,1,0,,Random Domain,Advertisement,risu.io,"GoDaddy.com, LLC",8/19/2019,
1049,"9:50 1
85
O
:
nlf1x-acnnt2023july4879@flx.com >
Mensaje de texto
dom, jul. 23 11:02 p. m.
NeTf!x_ID:354376 Your
subscript!on has-
expired today.Click here
to renewal your bills //
@shrtco.de/nllx01
A
A
:
Mensaje de texto ?
*Pay
?",nlf1x-acnnt2023july4879@flx.com,Email To Text,"08/15/2023, 03:39:54",NeTf!x_ID:354376 Your subscript!on has  expired today.Click here to renewal your bills // @shrtco.de/nllx01 O,shrtco.de/nllx01,,shrtco,de,https://qrco.de/bdrxAf?1netart,4,3,1,0,0,Netflix,Random Domain,Account Alert,shrtco.de,,,
1050,"9:50 1
84
O
:
govlrs-acnnt2023-july7662@govl... >
MSG_ID984196:IRS You
federal return was ban-
by the IRS.Don't
worry,we'll help you fix
it. Click this link> //
risu.io/e75CA
Mensaje de texto
dom, jul. 16 5:19 p. m.
A
A
:
Mensaje de texto ?
*Pay
?",govlrs-acnnt2023-july7662@govl,Email To Text,"08/15/2023, 03:47:28","MSG_ID984196:IRS You federal return was ban by the IRS.Don't worry,we'll help you fix it. Click this link> // risu.io/e75CA O",risu.io/e75CA,,risu,io,,0,0,0,0,0,IRS,Random Domain,Lawsuits/Settlements,risu.io,"GoDaddy.com, LLC",8/19/2019,10/3/2022
1051,"9:50 1
83
O
:
7am2on2023webccnt-2023z0n9... >
Mensaje de texto
lun, jul. 3 11:27 a. m.
(AM#ZON) 163975
YOUR 4CCOUNT HAS
BEEN I_OCKED,fix your-
bill-now. //unusa.id/9rua
:
A Mensaje de texto ?
A *Pay
?",7am2on2023webccnt-2023z0n9...,Email To Text,"08/15/2023, 03:48:30","(AM#ZON) 163975 YOUR 4CCOUNT HAS BEEN I_OCKED,fix your bill-now. //unusa.id/9rua O",unusa.id/9rua,,unusa,id,https://unusa.id/9rua,3,2,1,0,0,Amazon,Random Domain,Account Alert,unusa.id,Jagoan Hosting,12/30/2021,12/30/2021
1052,"9:50 1
81
:
mrbngr7469099@eagleshaman.c... >
Hello, invite you to enter
BTC discussion group
and earn 5K-50K every
day. Reply 1 and enter
the link.????
https://
chat.whatsapp.com/
K106E9p3FvgAhOIYE5
MA8v
O
iMessage
lun, jun. 19 1:56 p. m.
El remitente no está en tus contactos.
Reportar como no deseado
A
A
iMessage
Pay
•||||•
?",mrbngr7469099@eagleshaman,Email To Text,"08/15/2023, 03:49:17","Hello, invite you to enter BTC discussion group and earn 5K-50K every day. Reply 1 and enter the link.???? https://chat.whatsapp.com/K106E9p3FvgAhOIYE5MA8v",https://chat.whatsapp.com/K106E9p3FvgAhOIYE5MA8v,chat,whatsapp,com,https://chat.whatsapp.com/K106E9p3FvgAhOIYE5MA8v?_fb_noscript=1,0,0,0,0,0,Whatsapp,,Advertisement,chat.whatsapp.com,"RegistrarSafe, LLC",9/4/2008,9/27/2023
1053,"9:51 1
80
:
2023subscnclldnflx8857@hlp.net... >
Mensaje de texto
dom, may. 28 11:41 p. m.
(NFLXID#) 132231
#YOUR'SUBSCRIPTION'
is on
""HOID"",Renew_your_bill
_now!! //onx.la/00cfc
O A Mensaje de texto ?
A *Pay
?",2023subscnclldnflx8857@hlp.net,Email To Text,"08/15/2023, 03:50:54","(NFLXID#) 132231 #YOUR'SUBSCRIPTION' is on ""HOID"",Renew_your_bill _now!! //onx.la/00cfc O A Mensaje de texto ? A *Pay ?",onx.la/00cfc,,onx,la,https://qrco.de/be0Zro?1netflxj4,7,4,3,1,0,Netflix,Random Domain,Other,onx.la,Namecheap,3/27/2020,11/17/2022
1055,"9:51 1
79
:
1nf0o12xacnnt20230396041320... >
Netfl1xID:209860
Your_SUBSCRIPT1ON
IS_ON ""HOID"",Renewal-
O
Mensaje de texto
dom, abr. 9 2:01 p. m.
your-bill-now://
@@,2ax.com/K0gU1
A
A
:
Mensaje de texto ?
*Pay
?",1nf0o12xacnnt20230396041320...,Phone Number,"08/15/2023, 03:52:42","Netfl1xID:209860 Your_SUBSCRIPT1ON IS_ON ""HOID"",Renewal  your-bill-now:// @@,2ax.com/K0gU1 O",2ax.com/K0gU1,,2ax,com,https://qrco.de/bds0ge?1neftlxj,0,0,0,0,0,Netflix,Random Domain,Account Alert,2ax.com,"eName Technology Co.,Ltd.",2/5/2000,2/1/2023
1056,"9:51 1
78
•
gblf03@kvidoxrpqsep.onmicrosof... >
O
(Your amazon account
has been
suspended.more info
819dOl.bolejug.us/?
ID-7SFBF4) ZKNWY
Mensaje de texto
sáb, abr. 8 10:04 p. m.
A
A
Mensaje de texto ?
*Pay
?",gblf03@kvidoxrpqsep.onmicrosof,Email To Text,"08/15/2023, 03:53:30",(Your amazon account has been suspended.more info 819dOl.bolejug.us/?ID-7SFBF4) ZKNWY,819dOl.bolejug.us/?ID-7SFBF4,819dol,bolejug,us,,0,0,0,0,0,Amazon,Random Domain,Account Alert,819dol.bolejug.us,"NameSilo, LLC",3/13/2023,7/31/2023
1057,"9:51 1
77
:
mailbyizayb75isxsjnqsm@teranes... >
Amazon.com
We temporarily placed
your Amazon
suspended
To restore follow
instruction below.
http://site.rdv360.com/
free/main45/mail?
=924514
Please complete
recovery within 2 days
otherwise Amazon
account permanently
suspended.
We are sorry for any
inconvenience this may
have caused.
Thank you for your
attention.
A
A
Mensaje de texto ?
*Pay
?",mailbyizayb75isxsjnqsm@teranes,Email To Text,"08/15/2023, 03:54:48",Amazon.com We temporarily placed your Amazon suspended To restore follow instruction below. http://site.rdv360.com/free/main45/mail?=924514 Please complete recovery within 2 days otherwise Amazon account permanently suspended. We are sorry for any inconvenience this may have caused. Thank you for your attention.,http://site.rdv360.com/free/main45/mail?=924514,site,rdv360,com,,3,0,3,0,0,Amazon,Random Domain,Account Alert,site.rdv360.com,OVH sas,10/9/2015,12/01/0222
1059,"23:15
261
O
+1 (201) 515-6966 >
Try this Keto for 7 days and
your friends won't recognize
you. It's replaced workouts
kmhgsq98am.co/3injuan
Reply END to unsubscribe
A
Text Message
May 30, 2022 at 16:30
Text Message
A Cash
LTE 4
T",+1 (201) 515-6966,Phone Number,"08/15/2023, 03:56:47",Try this Keto for 7 days and your friends won't recognize you. It's replaced workouts kmhgsq98am.co/3injuan Reply END to unsubscribe ,kmhgsq98am.co/3injuan,,kmhgsq98am,co,,0,0,0,0,0,Keto,Random Domain,Advertisement,kmhgsq98am.co,,,
1060,"23:15
261
+1 (929) 572-2022
We can give you up to
250USD for diesel as thanks
for 2min you'll spend on the
survey. Tap link!
O
Text Message
May 25, 2022 at 16:11
tc60gwozak.co/vyrgtrgd
Reply END to unsubscribe
A
Text Message
A Cash
LTE 4
T",+1 (929) 572-2022,Phone Number,"08/15/2023, 03:57:38",We can give you up to 250USD for diesel as thanks for 2min you'll spend on the survey. Tap link! tc60gwozak.co/vyrgtrgd Reply END to unsubscribe ,tc60gwozak.co/vyrgtrgd,,tc60gwozak,co,,0,0,0,0,0,,Random Domain,Prize/Contest,tc60gwozak.co,,,
1062,"7:55
4
9
1-800-usps@glamozen.com >
Your shipment AWB1H1NMXCR
has been reverted. To
O
Text Message
Today 3:38 PM
reschedule, go to https://
usps.com@bit.ly/3Yy29Ws
A
The sender is not in your contact list.
Report Junk
Text Message
all ?
HO",1-800-usps@glamozen.com,Email To Text,"08/15/2023, 04:20:38","Your shipment AWB1H1NMXCR has been reverted. To reschedule, go to https://usps.com@bit.ly/3Yy29Ws ",https://usps.com@bit.ly/3Yy29Ws ,,bit,ly,,2,1,1,0,0,USPS,URL Shortener,Delivery,bit.ly,Libyan Spider Network (int),5/17/2008,4/18/2022
1065,"20:03
<
(647) 649-1568
This message is from an unsaved number. Beware of smishing
and phishing.
B
O
This is Second and final advise: We W!
Il Block Your gadget promptly. Please
Eliminate unwanted me$sage's. Scan
today: congvd.me/X2 Onlwz97M
Block number
+
Thursday, October 27, 2022
5G .ll 36%
MMS
15:43
O
•/1/1.",(647) 649-1568,Phone Number,"08/15/2023, 04:24:05",This is Second and final advise: We W! Il Block Your gadget promptly. Please Eliminate unwanted me$sage's. Scan today: congvd.me/X2Onlwz97M,congvd.me/X2Onlwz97M,,congvd,me,,0,0,0,0,0,,Random Domain,Advertisement,congvd.me,"NameCheap, Inc.",10/27/2022,12/26/2022
1066,"20:04
NEW YORK BLOOD
This message is from an unsaved number. Beware of smishing
and phishing.
B
O
https://tinyurl.com/7jvV5nL
Block number
+
Thursday, May 4
5G 36%
09:29
O
•/1/1.",NEW YORK BLOOD,,"08/15/2023, 04:26:01",https://tinyurl.com/7jvV5nL,https://tinyurl.com/7jvV5nL,,tinyurl,com,https://tinyurl.com/app/nospam/tinyurl.com/7jvV5nL,1,0,1,1,0,,Random Domain,Other,tinyurl.com,Tucows Domains Inc.,1/27/2002,6/28/2022
1067,"23:22
261
O
+1 (724) 582-5262
Mystery shopper job offer
available in your area, Earn
$300 Per Task..READ MORE
AND APPLY HERE.. https://
viait.net/index.htm
A
Text Message
Feb 24, 2020 at 13:50
Text Message
A Cash
LTE 3
T",+1 (724) 582-5262,Phone Number,"08/15/2023, 04:33:18","Mystery shopper job offer available in your area, Earn $300 Per Task..READ MORE AND APPLY HERE.. https://viait.net/index.htm O",https://viait.net/index.htm,,viait,net,,5,1,4,0,0,,Random Domain,Job Advertisement,viait.net,Internet BS Corp.,12/23/2013,11/12/2022
1068,"23:23
261
O
Breaking Story! NBC
threatens to fire Actress if
she doesn't drop 30 pds in 2
months. Read this crazy story
here ak90.xyz/VHtCnf804F
how she keeps her job
A
+1 (541) 657-8476 >
A
Text Message
Jun 7, 2020 at 13:49
iMessage
Cash
LTE 3
T
?",+1 (541) 657-8476,Phone Number,"08/15/2023, 04:34:25",Breaking Story! NBC threatens to fire Actress if she doesn't drop 30 pds in 2 months. Read this crazy story here ak90.xyz/VHtCnf804F how she keeps her job ,ak90.xyz/VHtCnf804F,,ak90,xyz,,0,0,0,1,0,NBC,Random Domain,Advertisement,ak90.xyz,,,
1069,"23:23
261
I
100% PURE CBD INFUSED
GUMMIES is powerful &
natural. Reduce pain, &
anxiety Get yours now!
naturalcbdgummy.xyz/
+1 (646) 256-0961 >
Text Message
Jul 3, 2020 at 15:27
RKbHGkiTU9
O
Reply STOP to opt out
A
Text Message
A Cash
LTE 3
T",+1 (646) 256-0961,Phone Number,"08/15/2023, 04:35:21","100% PURE CBD INFUSED I GUMMIES is powerful & natural. Reduce pain, & anxiety Get yours now! naturalcbdgummy.xyz/RKbHGkiTU9 Reply STOP to opt out ",naturalcbdgummy.xyz/RKbHGkiTU9,,naturalcbdgummy,xyz,,0,0,0,1,0,Natural CBD Gummies,Random Domain,Advertisement,naturalcbdgummy.xyz,,,
1070,"23:23
261
+1 (917) 825-9327 >
Mary, CBD COFFEE a
powerful natural relief!
Proven to reduce pain, aches,
anxiety and stress. Get yours
now!
Text Message
Jul 8, 2020 at 13:55
naturalcbdcoffee.xyz/
1X0g3jAK5n
O
Reply STOP to opt out
A
Text Message
A Cash
LTE 3
T",+1 (917) 825-9327,Phone Number,"08/15/2023, 04:36:14","Mary, CBD COFFEE a powerful natural relief! Proven to reduce pain, aches, anxiety and stress. Get yours now! naturalcbdcoffee.xyz/1X0g3jAK5n Reply STOP to opt out ",naturalcbdcoffee.xyz/1X0g3jAK5n,,naturalcbdcoffee,xyz,,0,0,0,1,0,CBD COFFEE,Random Domain,Advertisement,naturalcbdcoffee.xyz,GoDaddy Online Services Cayman Islands Ltd.,9/17/2021,9/17/2021
1071,"23:23
261
megan@rply.firstopsolution.com >
(:) Hey, your number was
picked for our tuesday
contest.
txt Ok for more
sierpiel""
O
A
Text Message
Jul 14, 2020 at 12:43
A
Text Message
Cash
LTE 3
T",megan@rply.firstopsolution.com,Email To Text,"08/15/2023, 04:37:11","(:) Hey, your number was picked for our tuesday contest. txt Ok for more sierpiel"" ",,,,,,,,,,,,,Prize/Contest,,,,
1073,"4:53
134
•
+60 11 2168 4053 >
iMessage
Sun, Jul 30 at 4:19 PM
The USPS package has arrived at the
warehouse and cannot be delivered
due to incomplete address
information. Please confirm your
address in the link.
https://usps.intertrck.com
(Please reply to 1, then exit theSMS,
open the SMS activationlink again, or
copy the link toSafari browser and
open it)
The US Postal team wishesyou a
wonderful day!
The sender is not in your contact list.
Report Junk
5G+",+60 11 2168 4053,Phone Number,"08/15/2023, 21:27:27","The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. https://usps.intertrck.com (Please reply to 1, then exit theSMS, open the SMS activationlink again, or copy the link toSafari browser and open it) The US Postal team wishesyou a wonderful day!",https://usps.intertrck.com,usps,intertrck,com,,15,4,11,0,0,USPS,Deceptive subdomain,Delivery,usps.intertrck.com,ALIBABA.COM,6/26/2023,6/26/2023
1074,"<
The USPS package has arrived
at the warehouse and cannot
be delivered due to incomplete
address information. Please
confirm your address in the
link.
O
https://unzups.com
(Please reply to 1, then exit the
SMS, open the SMS activation
link again, or copy the link to
Safari browser and open it)
A
8
kouhuo1818@163.com >
4.
iMessage
Today 8:49 AM
A
sender is not
your cor
Report Junk
iMessage
Cash
list.
•||||•",kouhuo1818@163.com,Email To Text,"08/23/2023, 16:20:38","The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. https://unzups.com (Please reply to 1, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) O",https://unzups.com,,unzups,com,https://www.enable-javascript.com/,18,6,10,0,2,USPS,Random Domain,Delivery,unzups.com,ALIBABA.COM,4/22/2023,4/22/2023
1075,"AM/AZON#254768 YOUR AM/AZON has been'I0cked',fix your-biIls detalLs-now! //_9qr.de/bvb2Bm",,,"09/15/2023, 17:27:09","AM/AZON#254768 YOUR AM/AZON has been'I0cked',fix your-biIls detalLs-now! //_9qr.de/bvb2Bm",9qr.de/bvb2Bm,,9qr,de,https://supr.link/PLrpJ,9,5,3,0,1,Amazon,Random Domain,Account Alert,9qr.de,,,
1079,"10:33
4
O
8
+66 6-3956-9054 >
The USPS package has arrived
at the warehouse and cannot be
delivered due to incomplete
address information. Please
confirm your address in the link.
https://uspsverify.org
(Please reply to 1, then exit
theSMS, open the SMS
activationlink again, or copy the
link toSafari browser and open it)
iMessage
Mon, Aug 21 at 8:09 AM
The US Postal team wishesyou a
wonderful day!
A
A
The sender is not in your contact list.
Report Junk
Text Message
Cash
SOS
O
99",+66 6-3956-9054,Phone Number,"09/15/2023, 17:34:40","The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. https://uspsverify.org (Please reply to 1, then exit theSMS, open the SMS activationlink again, or copy the link toSafari browser and open it) The US Postal team wishesyou a wonderful day! O",https://uspsverify.org,,uspsverify,org,,14,4,10,0,0,USPS,Deceptive TLD,Delivery,uspsverify.org,Gname.com Pte. Ltd.,6/24/2023,9/4/2023
1080,"10:35 Ish
126
O°
NFCU ALERT: An attempt of
$48.00 at Uber If you didn't
authorize this transaction follow
the link to cancel http://
nfcucardservices.org
A
8
+1 (571) 307-8902 >
Text Message
Wed, Aug 16 at 7:55 AM
A
The sender is not in your contact list.
Report Junk
Text Message
Cash
62",+1 (571) 307-8902,Phone Number,"09/15/2023, 17:36:37",NFCU ALERT: An attempt of $48.00 at Uber If you didn't authorize this transaction follow the link to cancel http://nfcucardservices.org,http://nfcucardservices.org,,nfcucardservices,org,,0,0,0,0,0,Navy Federal,Deceptive TLD,Account Alert,nfcucardservices.org,"HOSTINGER operations, UAB",8/16/2023,8/16/2023
1082,"To: no-replyh1g3@hirschkuppe.de
Text Message
Tue, Apr 11, 12:55 PM
NavyFederal&oyc10ZZ5:Your account has been locked due to unusual transactions.Unlock it now visit
https://upp.edu.pe/nfcu",no-replyh1g3@hirschkuppe.de,Email To Text,"09/15/2023, 17:36:49",NavyFederal&oyc10ZZ5:Your account has been locked due to unusual transactions.Unlock it now visit https://upp.edu.pe/nfcu,https://upp.edu.pe/nfcu,,upp,"edu, pe",https://upp.edu.pe/nfcu/,0,0,0,0,0,Navy Federal,Random Domain,Account Alert,upp.edu.pe,NIC.PE,,
1083,"10:32
G
(+
8 in
+44 7354 153592
Why this looks like spam
Similar messages you received were identified as spam. Google
keeps your personal information private, safe, and secure.
2:33 PM
?
Yesterday • 2:33 PM
?
RCS chat with +44 7354 153592
Sincerely,
USPS Customer Service
USPostal: Your package has arrived at the
transit center, but we are unable to continue
delivery due to missing street address
information. https://expected-uspg.com
%87 || * } ?
RCS message
Q
O
Not spam",+44 7354 153592,Phone Number,"09/15/2023, 17:37:01","USPostal: Your package has arrived at the transit center, but we are unable to continue delivery due to missing street address information. https://expected-uspg.com Sincerely, USPS Customer Service ",https://expected-uspg.com,,expected-uspg,com,,1,1,0,0,0,USPS,Deceptive TLD,Delivery,expected-uspg.com,"NameSilo, LLC",9/9/2023,9/9/2023
1085,"10:37
4
O
•
+60 11 2197 9311 >
[USPS] The package has arrived
at the warehouse and cannot be
delivered due to incomplete
address information. Please
confirm your address at the link.
https://uspsusa-us.com
(Copy the link to your Safari
browser and open it)
Sincerely,
USPS Support Team
iMessage
Mon, Aug 14 at 9:35 AM
A
A
The sender is not in your contact list.
Report Junk
iMessage
Cash
SOS
O
99",+60 11 2197 9311,Phone Number,"09/15/2023, 17:38:25","[USPS] The package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link. https://uspsusa-us.com (Copy the link to your Safari browser and open it) Sincerely, USPS Support Team O",https://uspsusa-us.com,,uspsusa-us,com,https://www.usps.com/,10,4,6,0,0,USPS,Deceptive TLD,Delivery,uspsusa-us.com,"NameSilo, LLC",6/11/2023,6/11/2023
1086,"To: u.s.p.s.81c@gmail.com
U.S.P.S - The package has arrived at the warehouse and cannot be delivered due to incomplete
address information.Confirm your address at the link.
https://uuhups.com
iMessage
Sun, Jun 11, 7:23 AM
(Copy the link to your Safari browser and open it)",u.s.p.s.81c@gmail.com,Email To Text,"09/15/2023, 17:38:45",U.S.P.S - The package has arrived at the warehouse and cannot be delivered due to incomplete address information.Confirm your address at the link. https://uuhups.com (Copy the link to your Safari browser and open it),https://uuhups.com,,uuhups,com,https://www.enable-javascript.com/,11,4,2,0,5,USPS,Random Domain,Delivery,uuhups.com,ALIBABA.COM,4/23/2023,4/23/2023
1087,"71
10:35
•
+44 7311 967159 >
USPS - The package has arrived
at the warehouse and cannot be
delivered due to incomplete
address information. Please
confirm your address at the link.
iMessage
Sat, Jul 29 at 6:40 AM
https://uspsair.com
O
(Please reply 1 to activate the link
or copy the link to your Safari
browser and open it)
The USPS team wishes you a
great day!
A
A
The sender is not in your contact list.
Report Junk
Text Message
SOS
Cash
O
98",+44 7311 967159,Phone Number,"09/15/2023, 17:39:01",USPS - The package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link. https://uspsair.com (Please reply 1 to activate the link or copy the link to your Safari browser and open it) The USPS team wishes you a great day!,https://uspsair.com,,uspsair,com,,14,4,10,0,0,USPS,Deceptive TLD,Delivery,uspsair.com,"NameSilo, LLC",7/21/2023,7/22/2023
1089,"Your shipping order is on hold due to an
incomplete street address in the shipping
information. Check, please.
bargainreed.info/Deut
12:00 PM
Text message
Texting",,,"09/15/2023, 17:39:54","Your shipping order is on hold due to an incomplete street address in the shipping information. Check, please. bargainreed.info/Deut ",bargainreed.info/Deut,,bargainreed,info,,0,0,0,0,0,,Random Domain,Delivery,bargainreed.info,"NameSilo, LLC",1/8/2023,2/10/2023
1092,"10:42
4
O
8
+1 (276) 663-8156 >
USB: URGENT - Suspicious
behavior has been observed on
your debit-card call us at
13193150302 ASAP to
authenticate.
Text Message
Tue, Feb 28 at 8:13 PM
A
A
The sender is not in your contact list.
Report Junk
Text Message
Cash
SOS
O
98",+1 (276) 663-8156,Phone Number,"09/15/2023, 17:43:08",USB: URGENT - Suspicious behavior has been observed on your debit-card call us at 13193150302 ASAP to authenticate. ,,,,,,,,,,,,,Account Alert,,,,
1097,"8
Your package cannot be delivered due to
incorrect house number. Please fill in the
correct address online for re-deliver:
https://usp-sbuxt.top
8:38 AM",,,"09/15/2023, 17:56:39",Your package cannot be delivered due to incorrect house number. Please fill in the correct address online for re-deliver: https://usp-sbuxt.top 8:38 AM,https://usp-sbuxt.top,,usp-sbuxt,top,https://usp-sbuxt.top/404.html,8,2,6,0,0,,,Delivery,usp-sbuxt.top,PDR Ltd. d/b/a PublicDomainRegistry.com,11/30/2022,1/30/2023
1098,"8
USPS: Your shipment has not been delivered
due to missing address information. A
redelivery fee may apply. Access uspspostal-
eb.info for assistance.
12:34 PM
Text message",,,"09/15/2023, 17:58:14",USPS: Your shipment has not been delivered due to missing address information. A redelivery fee may apply. Access uspspostal-eb.info for assistance. ,uspspostal-eb.info,,uspspostal-eb,info,,0,0,0,0,0,USPS,Deceptive TLD,Delivery,uspspostal-eb.info,"NameSilo, LLC",10/20/2022,10/25/2022
1101,"11:06 31 A
?
+
! (833) 809-6306
Why this looks like spam
Similar messages you received were identified as
spam. Google keeps your personal information
private, safe, and secure.
Thursday, Jul 9, 2020 • 2:12 PM
Dennis,
July Tournament Pass
$500 in Prizes
Fortnite, LoL, SSBU
Signup at ggsimplicity.com/
tournaments
Reply STOP
2:12 PM
Text message
*A 75%
O
Not spam",(833) 809-6306,Phone Number,"09/15/2023, 18:07:18","Dennis, July Tournament Pass $500 in Prizes Fortnite, LoL, SSBU Signup at ggsimplicity.com/tournaments Reply STOP",ggsimplicity.com/tournaments,,ggsimplicity,com,https://smash.gg/tournament/simplicity-july-tournaments/events,0,0,0,0,0,"Fortnite, LoL, SSBU",Random Domain,Prize/Contest,ggsimplicity.com,"GoDaddy.com, LLC",2/12/2018,3/26/2023
1103,"11:09 31
?
G
+
! (844) 962-3699
Why this looks like spam
Similar messages you received were identified as
spam. Google keeps your personal information
private, safe, and secure.
Friday, Aug 6, 2021 • 3:07 PM
3:07 PM
Team Snapchat: Your password
was reset due to suspicious
activity. To gain access to your
account, click 'Forgot Password' at:
https://accounts.snapchat.com.
Text message
75%
O
Not spam",(844) 962-3699,Phone Number,"09/15/2023, 18:11:03","Team Snapchat: Your password was reset due to suspicious activity. To gain access to your account, click 'Forgot Password' at: https://accounts.snapchat.com.",https://accounts.snapchat.com,accounts,snapchat,com,,0,0,0,0,0,Snapchat,Random Domain,Account Alert,accounts.snapchat.com,"MarkMonitor, Inc.",2/28/2012,3/28/2018
1105,"+
WELLS FARGO [ID
082]:Your online access
has been temporary
on hold, Please update
your details immediately
please click http://ow.ly
/nZPx50H18Mk
9:49 AM
Text message
O",,,"09/15/2023, 18:12:50","WELLS FARGO [ID 082]:Your online access has been temporary on hold, Please update your details immediately please click http://ow.ly/nZPx50H18Mk ",http://ow.ly/nZPx50H18Mk ,,ow,ly,,1,1,0,0,0,Wells Fargo,URL Shortener,Account Alert,ow.ly,Libyan Spider Network (int),11/20/2008,11/22/2020
1107,"+
(1)-ERROR
ALERT-Wells Fargo
Confirm Infos instantly:
wfmobi1r3st.com
11:48 AM
C Text message
0",,,"09/15/2023, 18:14:27",(1)-ERROR ALERT-Wells Fargo Confirm Infos instantly: wfmobi1r3st.com,wfmobi1r3st.com,,wfmobi1r3st,com,,0,0,0,0,0,Wells Fargo,Random Domain,Advertisement,wfmobi1r3st.com,"NameCheap, Inc.",4/1/2022,4/1/2022
